PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,ShoppingMall,FoodCourt,Spa,VRDeck,Name,Transported
0003_01,Europa,False,A/0/S,TRAPPIST-1e,0.7341772151898734,True,0.3954233148840848,0.0,0.7941853343858203,0.8797101219581422,0.38765998326184464,Susent,False
0003_02,Europa,False,A/0/S,TRAPPIST-1e,0.4177215189873418,False,0.0,0.5880986320022507,0.6947414082812884,0.8096786582099919,0.5220157966695707,Susent,False
0056_01,Europa,False,A/1/S,TRAPPIST-1e,0.02531645569620253,False,0.0,0.0,0.0,0.0,0.0,Tractive,True
0056_02,Europa,True,A/1/S,TRAPPIST-1e,0.4810126582278481,False,0.0,0.0,0.0,0.0,0.0,Tractive,True
0056_03,Europa,False,A/1/S,TRAPPIST-1e,0.34177215189873417,False,0.5887990294113493,0.8072119510194551,0.6218621565445361,0.5649754500741163,0.13737415349604015,Tractive,True
0097_01,Europa,False,A/2/S,TRAPPIST-1e,0.6835443037974683,False,0.0,0.0,0.688899596062413,0.13839115501201285,0.6399858352946378,Fictful,False
0119_01,Europa,False,A/0/P,TRAPPIST-1e,0.49367088607594933,False,0.0,0.0,0.7532021269601157,0.4182453417629173,0.8759093856264905,Coning,False
0119_02,Europa,True,A/0/P,TRAPPIST-1e,0.16455696202531644,False,0.0,0.0,0.0,0.0,0.0,Coning,True
0202_02,Europa,False,A/2/P,55 Cancri e,0.34177215189873417,False,0.0,0.0,0.7568177298649442,0.6767133286258166,0.6040627175659952,Embleng,True
0255_01,Europa,True,A/3/S,TRAPPIST-1e,0.3037974683544304,False,0.0,0.0,0.0,0.0,0.0,Mingious,True
0298_01,Europa,True,A/3/P,55 Cancri e,0.7215189873417721,False,0.0,0.0,0.0,0.0,0.0,Sorbitter,True
0429_01,Europa,False,A/5/S,55 Cancri e,0.25316455696202533,False,0.11479787087406797,0.0,0.8950995947606103,0.10967239556276454,0.537145232574664,Ineysive,True
0429_02,Europa,True,A/5/S,55 Cancri e,0.5822784810126582,False,0.0,0.0,0.0,0.0,0.0,Ineysive,True
0516_01,Europa,False,A/6/S,55 Cancri e,0.6962025316455696,False,0.49490207193286323,0.37137317267514297,0.7591424343037821,0.0,0.7703204957945822,Eneurordry,False
0709_01,Europa,False,A/7/S,55 Cancri e,0.31645569620253167,False,0.0,0.0,0.8257170750342587,0.6105379917225773,0.2747483069920803,Missefle,True
0709_02,Europa,True,A/7/S,55 Cancri e,0.31645569620253167,False,0.0,0.0,0.0,0.0,0.0,Missefle,True
0709_03,Europa,True,A/7/S,55 Cancri e,0.2911392405063291,False,0.0,0.0,0.0,0.0,0.0,Missefle,True
0753_01,Europa,True,A/4/P,TRAPPIST-1e,0.43037974683544306,False,0.0,0.0,0.0,0.0,0.0,Ennalve,True
0753_02,Europa,False,A/4/P,55 Cancri e,0.8227848101265822,False,0.3130346258275127,0.1599130273153523,0.6992464076984811,0.8054221913007715,0.21773288185953577,Ennalve,False
0753_03,Europa,True,A/4/P,55 Cancri e,0.5316455696202531,False,0.0,0.0,0.0,0.0,0.0,Ennalve,True
0777_01,Europa,False,A/5/P,TRAPPIST-1e,0.37974683544303794,False,0.0,0.0,0.7772726485783651,0.6914671391529045,0.0,Plattering,False
0789_01,Europa,False,A/8/S,TRAPPIST-1e,0.3924050632911392,True,0.0,0.1599130273153523,0.4967607753370274,0.7672951060198282,0.5784870089709077,Imprank,False
0789_02,Europa,False,A/8/S,TRAPPIST-1e,0.37974683544303794,False,0.0,0.6726285829332331,0.4817017442310973,0.44920752408468784,0.8086058746407918,Frolestty,False
0789_03,Europa,True,A/8/S,TRAPPIST-1e,0.3291139240506329,False,0.0,0.0,0.0,0.0,0.0,Frolestty,True
0799_01,Europa,False,A/6/P,55 Cancri e,0.34177215189873417,False,0.0,0.17802841521973847,0.7910415866324586,0.735944657527404,0.15948645325691227,Presstic,False
0853_01,Europa,True,A/9/S,55 Cancri e,0.4810126582278481,False,0.0,0.0,0.0,0.0,0.0,Ageurante,True
